Country Name,Country Code,Indicator Name,Indicator Code,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,4.044021312,2.883604303,3.315246786,3.656365079,2.529129469,3.397786778,3.608024388,5.392567845,8.955987052,-2.13542872,2.078140719,4.316297422,0.627471993,-2.372065243,0.421440919,0.474763597
Africa Eastern and Southern,AFE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,8.601485149,5.840353983,8.763753664,7.44970014,5.023420686,8.558038022,8.898163802,8.450774806,12.56664466,8.954218024,5.537537916,8.97120641,9.158707155,5.750981334,5.37028961,5.24587835
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,12.68626872,6.78459655,8.680570785,26.41866415,-6.811161089,2.178537524,11.80418581,6.441212809,7.385771784,4.673996035,-0.661709165
Africa Western and Central,AFW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,2.530775167,4.36152914,3.188693302,1.760904101,0.694336306,5.631633514,4.415899842,3.60736768,8.452976233,3.282440376,1.784844205,4.018699075,4.578374635,2.439200761,1.768435821,2.130817381
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,324.9968716,152.5610225,108.8974361,98.22414366,43.54210675,22.95351385,13.30521018,12.25149745,12.47582913,13.73028393,14.46965649,13.48246792,10.27790492,8.777814293,7.280387304,9.353839725
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,0.050018136,3.10758827,7.770525834,0.484002612,2.280019169,2.366581957,2.370728319,2.932682482,3.320870904,2.266922095,3.626046956,3.429123247,2.031592684,1.937620802,1.625865044,1.896174026
Andorra,AND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,
Arab World,ARB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1.853790353,1.772204374,1.83299389,2.712592475,3.63228005,3.493685346,3.544985916,4.74390639,11.27066524,2.920897118,3.911061955,4.753163889,4.611844322,3.238108339,2.773516131,1.814077239
United Arab Emirates,ARE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,12.25042024,1.561813174,0.877983288,0.877346596,0.6622689,1.101118364,2.346268657,4.069966084
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,
Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,-0.790883769,3.145904647,1.060049293,4.721553366,6.961261359,0.638928002,2.892356625,4.407360896,8.949953354,3.406766827,8.176361385,7.650008079,2.558020078,5.789667785,2.981308689,3.731691193
American Samoa,ASM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,0.771779797,1.402796636,2.407658013,1.993530552,2.030077579,2.098751967,1.787785374,1.416052594,5.333806398,-0.550159996,3.370025402,3.456749672,3.376880443,1.059497824,1.089441574,0.968993459
